"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"date/hora: data/hora da transação publicada"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"Atenção: relatórios com data de início de 1º de janeiro de 2025 ou mais recentes são indexados pela data de publicação, incluem transações liberadas e diferidas e têm duas novas colunas. Pode ser necessário atualizar integrações ou mapeamentos de terceiros."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total","Status da transação","Data de liberação da transação"
"3 de abr. de 2026 08:55:22 GMT-7","26219047571","Pedido","701-7449765-3770607","MFS-0032","Conjunto 6 Potes de Vidro 350ml Nadir Figueredo","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Luís","MA","65071","79,97","0","0","0","0","-9,60","-5,00","0","0","65,37","Liberado","12 de abr. de 2026 21:21:49 GMT-7"
"3 de abr. de 2026 11:58:18 GMT-7","26219047571","Pedido","702-3828927-3635458","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Paulo","SP","01050","33,97","0","0","-3,40","0","-4,28","-5,00","0","0","21,29","Liberado","11 de abr. de 2026 07:56:23 GMT-7"
"3 de abr. de 2026 19:47:32 GMT-7","26218629861","Pedido","702-3781477-3105812","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Curitiba","PR","82820","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","12 de abr. de 2026 03:40:30 GMT-7"
"3 de abr. de 2026 22:30:33 GMT-7","26218266861","Pedido","702-0995902-2041043","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Visa Crédito","Amazon","São Paulo","SP","04001","35,99","0","0","0","0","-5,04","-5,00","0","0","25,95","Liberado","11 de abr. de 2026 06:34:41 GMT-7"
"4 de abr. de 2026 05:22:13 GMT-7","26219047571","Pedido","702-8282359-6353034","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Vila Velha","ES","29101","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","13 de abr. de 2026 06:28:00 GMT-7"
"4 de abr. de 2026 08:41:43 GMT-7","26218266861","Pedido","702-2417415-6571461","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Brasília","DF","71070","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","12 de abr. de 2026 03:52:48 GMT-7"
"4 de abr. de 2026 09:15:02 GMT-7","26219047571","Pedido","702-2606949-4737032","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Recife","PE","52071","33,97","0","0","0","0","-4,76","-5,00","0","0","24,21","Liberado","13 de abr. de 2026 05:16:03 GMT-7"
"4 de abr. de 2026 09:15:23 GMT-7","26218629861","Pedido","701-0960574-4633003","MFS-0023+A","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Azul)","1","amazon.com.br","Boleto","Amazon","Brasília","DF","70390","34,97","8,90","0","-8,90","0","-4,90","-5,00","0","0","25,07","Liberado","13 de abr. de 2026 16:25:45 GMT-7"
"4 de abr. de 2026 11:15:16 GMT-7","26110251761","Taxa de Estoque FBA","","","Tarifa de armazenagem do programa FBA - Logística da Amazon","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","0","0","Liberado","4 de abr. de 2026 11:15:16 GMT-7"
"4 de abr. de 2026 14:06:51 GMT-7","26219047571","Pedido","702-1773734-8584265","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São José dos Campos","SP","12233","35,99","0","0","-3,60","0","-4,53","-5,00","0","0","22,86","Liberado","14 de abr. de 2026 04:09:55 GMT-7"
"4 de abr. de 2026 19:44:52 GMT-7","26218629861","Pedido","702-6770460-7957022","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","São José dos Pinhais","PR","83005","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","14 de abr. de 2026 07:35:01 GMT-7"
"4 de abr. de 2026 19:45:03 GMT-7","26218266861","Pedido","702-2709395-4085008","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Visa Crédito","Amazon","Macapá","AP","68906","35,99","0","0","0","0","-5,04","-5,00","0","0","25,95","Liberado","14 de abr. de 2026 08:56:54 GMT-7"
"4 de abr. de 2026 23:02:11 GMT-7","26219047571","Pedido","701-8349423-1706600","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","2","amazon.com.br","Crédito Mastercard e outros","Amazon","Guarulhos","SP","07090","71,98","0","0","0","0","-10,08","-10,00","0","0","51,90","Liberado","13 de abr. de 2026 06:20:05 GMT-7"
"4 de abr. de 2026 23:02:11 GMT-7","26219047571","Pedido","701-8349423-1706600","MFS-0023+R","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Rosa)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Guarulhos","SP","07090","31,97","0","0","0","0","-4,48","-5,00","0","0","22,49","Liberado","13 de abr. de 2026 06:20:05 GMT-7"
"4 de abr. de 2026 23:23:13 GMT-7","26110251761","Reembolso","701-2776074-2502617","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Dianópolis","TO","77300","-33,97","0","0","3,40","0","3,42","0","0","0","-27,15","Diferido",
"5 de abr. de 2026 00:28:03 GMT-7","26218629861","Pedido","702-6520910-4469005","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Rio de Janeiro","RJ","21555","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","13 de abr. de 2026 14:56:01 GMT-7"
"5 de abr. de 2026 04:14:36 GMT-7","26219047571","Pedido","701-2416332-8825824","MFS-0023+A","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Azul)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Palmas","TO","77062","34,97","0","0","0","0","-4,90","-5,00","0","0","25,07","Liberado","15 de abr. de 2026 02:53:02 GMT-7"
"5 de abr. de 2026 08:51:14 GMT-7","26218266861","Pedido","701-6106267-6854611","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Visa Crédito","Amazon","São Luís","MA","65075","39,97","8,90","0","0","0","-5,60","-13,90","0","0","29,37","Liberado","15 de abr. de 2026 06:54:05 GMT-7"
"5 de abr. de 2026 09:36:56 GMT-7","26218266861","Pedido","702-7687083-0229859","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Ribeirão Preto","SP","14070","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","15 de abr. de 2026 07:10:46 GMT-7"
"5 de abr. de 2026 13:16:35 GMT-7","26218629861","Pedido","701-0630186-8107453","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Estância Velha","RS","93615","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","13 de abr. de 2026 07:07:30 GMT-7"
"5 de abr. de 2026 14:08:10 GMT-7","26219047571","Pedido","702-9178677-6498609","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Paulo","SP","03675","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","14 de abr. de 2026 09:05:16 GMT-7"
"5 de abr. de 2026 19:37:28 GMT-7","26218266861","Pedido","701-6118644-0127408","MFS-0023+A","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Azul)","2","amazon.com.br","Visa Crédito","Amazon","Curitiba","PR","80240","69,94","0","0","-3,50","0","-9,30","-10,00","0","0","47,14","Liberado","13 de abr. de 2026 23:44:30 GMT-7"
"5 de abr. de 2026 22:39:11 GMT-7","26218266861","Pedido","702-1930738-1769028","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Rio de Janeiro","RJ","20270","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","13 de abr. de 2026 07:08:13 GMT-7"
